"time"	"system"	"conc"
"1"	2	"PCB18sys1"	440.3014689
"2"	4	"PCB18sys1"	437.9903493
"3"	8	"PCB18sys1"	379.1688615
"4"	24	"PCB18sys1"	357.2720369
"5"	168	"PCB18sys1"	300.3723244
"6"	336	"PCB18sys1"	254.3664542
"7"	672	"PCB18sys1"	251.5559529
"8"	2	"PCB18sys2"	544.2517966
"9"	4	"PCB18sys2"	504.8281771
"10"	8	"PCB18sys2"	402.1335265
"11"	24	"PCB18sys2"	389.0644447
"12"	168	"PCB18sys2"	331.766991
"13"	336	"PCB18sys2"	279.177132
"14"	672	"PCB18sys2"	272.7826862
"15"	2	"PCB18sys3"	547.2402774
"16"	4	"PCB18sys3"	461.3362815
"17"	8	"PCB18sys3"	413.3782461
"18"	24	"PCB18sys3"	414.8949376
"19"	168	"PCB18sys3"	345.1617614
"20"	336	"PCB18sys3"	285.7526953
"21"	672	"PCB18sys3"	261.3349523
"22"	2	"PCB31sys1"	763.3622628
"23"	4	"PCB31sys1"	789.6770035
"24"	8	"PCB31sys1"	725.2080521
"25"	24	"PCB31sys1"	694.2543906
"26"	168	"PCB31sys1"	590.1979123
"27"	336	"PCB31sys1"	519.1912427
"28"	672	"PCB31sys1"	472.920108
"29"	2	"PCB31sys2"	858.2582707
"30"	4	"PCB31sys2"	816.1687446
"31"	8	"PCB31sys2"	731.310067
"32"	24	"PCB31sys2"	695.1720924
"33"	168	"PCB31sys2"	611.731267
"34"	336	"PCB31sys2"	529.622469
"35"	672	"PCB31sys2"	456.4996127
"36"	2	"PCB31sys3"	851.283118
"37"	4	"PCB31sys3"	778.2660555
"38"	8	"PCB31sys3"	744.0893545
"39"	24	"PCB31sys3"	736.9550659
"40"	168	"PCB31sys3"	643.0246223
"41"	336	"PCB31sys3"	545.4502738
"42"	672	"PCB31sys3"	447.7677855
"43"	2	"PCB28sys1"	683.7834662
"44"	4	"PCB28sys1"	690.4697894
"45"	8	"PCB28sys1"	641.8710763
"46"	24	"PCB28sys1"	620.865598
"47"	168	"PCB28sys1"	548.1372256
"48"	336	"PCB28sys1"	487.1172168
"49"	672	"PCB28sys1"	433.0919611
"50"	2	"PCB28sys2"	756.5789779
"51"	4	"PCB28sys2"	720.3404641
"52"	8	"PCB28sys2"	659.8512388
"53"	24	"PCB28sys2"	618.2559847
"54"	168	"PCB28sys2"	560.2847841
"55"	336	"PCB28sys2"	492.6837299
"56"	672	"PCB28sys2"	415.8492888
"57"	2	"PCB28sys3"	745.582534
"58"	4	"PCB28sys3"	694.708812
"59"	8	"PCB28sys3"	664.8311966
"60"	24	"PCB28sys3"	662.8650003
"61"	168	"PCB28sys3"	586.325616
"62"	336	"PCB28sys3"	511.4639171
"63"	672	"PCB28sys3"	413.6619715
"64"	2	"PCB52sys1"	738.3464731
"65"	4	"PCB52sys1"	695.9818449
"66"	8	"PCB52sys1"	617.4893252
"67"	24	"PCB52sys1"	597.5095709
"68"	168	"PCB52sys1"	497.4317429
"69"	336	"PCB52sys1"	415.6408597
"70"	672	"PCB52sys1"	378.9611268
"71"	2	"PCB52sys2"	848.1108876
"72"	4	"PCB52sys2"	655.4114466
"73"	8	"PCB52sys2"	612.2063169
"74"	24	"PCB52sys2"	549.680777
"75"	168	"PCB52sys2"	475.4905488
"76"	336	"PCB52sys2"	394.4411124
"77"	672	"PCB52sys2"	351.5617864
"78"	2	"PCB52sys3"	774.1614699
"79"	4	"PCB52sys3"	658.7116524
"80"	8	"PCB52sys3"	638.4493553
"81"	24	"PCB52sys3"	623.7588251
"82"	168	"PCB52sys3"	538.6511243
"83"	336	"PCB52sys3"	420.8431018
"84"	672	"PCB52sys3"	355.4230674
"85"	2	"PCB66sys1"	1047.449013
"86"	4	"PCB66sys1"	1070.271821
"87"	8	"PCB66sys1"	950.3315117
"88"	24	"PCB66sys1"	905.2995404
"89"	168	"PCB66sys1"	791.4257559
"90"	336	"PCB66sys1"	577.3266494
"91"	672	"PCB66sys1"	513.3946367
"92"	2	"PCB66sys2"	1150.87534
"93"	4	"PCB66sys2"	881.0995678
"94"	8	"PCB66sys2"	983.0147401
"95"	24	"PCB66sys2"	767.1285815
"96"	168	"PCB66sys2"	729.8046848
"97"	336	"PCB66sys2"	538.0156399
"98"	672	"PCB66sys2"	444.6320096
"99"	2	"PCB66sys3"	1019.519293
"100"	4	"PCB66sys3"	944.2097422
"101"	8	"PCB66sys3"	944.8293443
"102"	24	"PCB66sys3"	880.9217977
"103"	168	"PCB66sys3"	782.5639125
"104"	336	"PCB66sys3"	572.3637812
"105"	672	"PCB66sys3"	461.6753049
